val,type,col1
600016: Abertamy,KU,Abertamy [Karlovy Vary] (kód kú: 600016)
600041: Adamov,KU,Adamov [Blansko] (kód kú: 600041)
600032: Adamov u Českých Budějovic,KU,Adamov u Českých Budějovic [České Budějovice] (kód kú: 600032)
663409: Adamov u Karlovic,KU,Adamov u Karlovic [Bruntál] (kód kú: 663409)
771473: Adamov u Tupadel,KU,Adamov u Tupadel [Kutná Hora] (kód kú: 771473)
601756: Adolfovice,KU,Adolfovice [Jeseník] (kód kú: 601756)
2401: NPR Adršpašsko-teplické skály,MZCHU,Adršpašsko-teplické skály [NPR] (kód ÚSOP: 2401)
CZ0520519: Adršpašsko-teplické skály,EVL,Adršpašsko-teplické skály (sitecode: CZ0520519)
CZ0213086: Aglaia,EVL,Aglaia (sitecode: CZ0213086)
691003: Ahníkov,KU,Ahníkov [Chomutov] (kód kú: 691003)
702919: Alberovice,KU,Alberovice [Benešov] (kód kú: 702919)
600075: Albeř,KU,Albeř [Jindřichův Hradec] (kód kú: 600075)
917923: Albeřice u Hradiště,KU,Albeřice u Hradiště [Karlovy Vary] (kód kú: 917923)
600172: Albrechtice nad Orlicí,KU,Albrechtice nad Orlicí [Rychnov nad Kněžnou] (kód kú: 600172)
600229: Albrechtice nad Vltavou,KU,Albrechtice nad Vltavou [Písek] (kód kú: 600229)
600083: Albrechtice,KU,Albrechtice [Strakonice] (kód kú: 600083)
600121: Albrechtice u Českého Těšína,KU,Albrechtice u Českého Těšína [Karviná] (kód kú: 600121)
625981: Albrechtice u Frýdlantu,KU,Albrechtice u Frýdlantu [Liberec] (kód kú: 625981)
600113: Albrechtice u Lanškrouna,KU,Albrechtice u Lanškrouna [Ústí nad Orlicí] (kód kú: 600113)
600091: Albrechtice u Mostu,KU,Albrechtice u Mostu [Most] (kód kú: 600091)
742406: Albrechtice u Rozsoch,KU,Albrechtice u Rozsoch [Žďár nad Sázavou] (kód kú: 742406)
614980: Albrechtice u Rýmařova,KU,Albrechtice u Rýmařova [Bruntál] (kód kú: 614980)
759694: Albrechtice u Sušice,KU,Albrechtice u Sušice [Klatovy] (kód kú: 759694)
600288: Albrechtice v Jizerských horách,KU,Albrechtice v Jizerských horách [Jablonec nad Nisou] (kód kú: 600288)
600300: Albrechtičky,KU,Albrechtičky [Nový Jičín] (kód kú: 600300)
